event date,volunteer number,event budge,event type,volunteer certification,total number,event location,volunteer's bonus,volunteer's score,satisfy
1/13/2015,25,4000,Fundraising,Y,600,North Vancouver,219,40,Y
10/24/2015,32,1000,Recreation Assistants,Y,100,Coquitlam,69,40,Y
10/1/2015,25,1000,Visual Arts Committee,Y,500,Richmond,431,40,Y
9/25/2015,26,2000,Graphic Design,Y,50,New Westminster,475,20,Y
4/21/2015,33,4000,Urban Native Youth Association,Y,600,Vancouver,154,40,Y
5/4/2015,24,2000,Equipment Sorter,Y,200,Langley,120,50,Y
3/1/2015,22,1000,Contest,Y,200,Vancouver,14,30,Y
1/4/2015,13,1000,Market Volunteer,Y,300,West Vancouver,101,50,N
9/11/2015,29,2000,Contest,Y,500,New Westminster,366,20,Y
7/11/2015,40,3000,Big Sister Program,Y,300,West Vancouver,340,40,N
5/29/2015,22,2000,Office Volunteer,Y,400,Langley,198,10,Y
3/24/2015,25,2000,Urban Native Youth Association,Y,500,Coquitlam,67,20,Y
10/17/2015,14,2000,Urban Native Youth Association,Y,300,North Vancouver,491,30,Y
2/24/2015,23,2000,Museum Tour Guide,Y,500,North Vancouver,383,30,Y
9/16/2015,40,1000,Training,Y,400,Coquitlam,121,40,Y
1/5/2015,35,4000,Conference,N,600,Burnaby,26,30,Y
8/9/2015,32,3000,Urban Native Youth Association,Y,200,Coquitlam,481,40,Y
8/6/2015,39,1000,Festival,Y,600,Richmond,455,10,Y
8/7/2015,13,3000,Seniors Centre Volunteer,Y,100,New Westminster,192,40,Y
5/3/2015,35,2000,Visual Arts Committee,N,50,West Vancouver,205,50,Y
4/9/2015,34,3000,Food Hamper Volunteer,Y,50,West Vancouver,407,20,Y
8/3/2015,36,3000,Nature House Volunteer,Y,600,Vancouver,52,40,Y
1/5/2015,36,1000,Childen Program,Y,500,Burnaby,145,40,N
9/23/2015,24,2000,Market Volunteer,Y,600,North Vancouver,371,30,Y
4/5/2015,27,1000,Training,Y,100,Coquitlam,212,50,Y
2/11/2015,33,2000,Contest,Y,200,Coquitlam,477,40,Y
4/1/2015,27,4000,Nature House Volunteer,Y,500,New Westminster,89,40,Y
7/16/2015,17,4000,Meals on Wheels Volunteer,N,300,North Vancouver,180,30,Y
6/20/2015,37,3000,Party,Y,100,New Westminster,268,40,Y
5/7/2015,15,3000,Health Product Study,Y,300,West Vancouver,110,10,N
8/2/2015,26,3000,Concert,Y,500,Richmond,196,20,Y
5/24/2015,34,1000,Graphic Design,Y,200,Vancouver,126,10,N
2/4/2015,28,1000,Nature House Volunteer,Y,500,Richmond,494,40,Y
7/28/2015,38,3000,Festival,Y,300,Coquitlam,392,10,Y
8/2/2015,22,1000,Museum Tour Guide,Y,200,North Vancouver,170,10,Y
4/8/2015,26,3000,Survey,Y,500,New Westminster,475,10,Y
4/21/2015,40,3000,Party,Y,200,West Vancouver,281,10,Y
10/22/2015,22,4000,Charitable Donations,Y,300,North Vancouver,52,30,Y
5/14/2015,11,4000,Conference,Y,600,Langley,470,50,Y
5/27/2015,35,4000,Market Volunteer,Y,600,Burnaby,129,40,Y
8/22/2015,16,3000,Fitness Class,Y,50,North Vancouver,50,30,Y
1/24/2015,12,1000,Conference,Y,300,Richmond,24,10,Y
4/29/2015,19,1000,In-School Mentor,Y,300,North Vancouver,98,30,N
4/13/2015,15,3000,Health Product Study,Y,200,New Westminster,153,10,Y
2/19/2015,20,2000,Recreation Assistants,Y,50,West Vancouver,138,50,Y
2/26/2015,20,4000,Meals on Wheels Volunteer,Y,300,North Vancouver,285,40,Y
6/20/2015,34,3000,Recreation Assistants,N,500,North Vancouver,335,30,Y
3/18/2015,25,1000,Parade,Y,600,Vancouver,399,20,Y
4/3/2015,16,3000,Study buddy Tutor,Y,400,North Vancouver,226,40,Y
7/10/2015,32,3000,Speech,Y,300,Burnaby,291,50,Y
6/7/2015,27,4000,Development Volunteer,Y,400,Vancouver,173,30,Y
4/13/2015,21,1000,Conference,Y,600,New Westminster,128,50,Y
7/26/2015,31,2000,Special Event,N,500,Langley,436,10,Y
4/27/2015,39,2000,In-School Mentor,Y,500,Richmond,129,50,Y
8/28/2015,24,2000,Parade,Y,300,Burnaby,261,50,Y
8/29/2015,13,1000,Museum Tour Guide,Y,500,Maple Ridge,124,10,Y
7/15/2015,39,4000,Seniors Centre Volunteer,Y,100,Coquitlam,226,10,Y
3/29/2015,25,1000,Childcare,Y,100,Burnaby,238,10,Y
9/10/2015,25,3000,Special Event,Y,100,Langley,64,20,Y
7/3/2015,14,4000,Party,Y,500,New Westminster,284,10,Y
10/20/2015,23,4000,Equipment Sorter,Y,100,West Vancouver,273,20,Y
4/12/2015,13,3000,Festival,Y,50,Richmond,31,30,Y
6/6/2015,17,4000,Conference,Y,400,North Vancouver,185,20,Y
9/11/2015,40,3000,Childen Program,Y,50,North Vancouver,274,20,Y
3/29/2015,27,2000,Survey,Y,600,Maple Ridge,296,50,Y
6/13/2015,38,2000,Festival,N,50,Burnaby,183,30,Y
7/11/2015,12,4000,Concert,Y,200,Maple Ridge,308,40,N
2/17/2015,23,1000,Graphic Design,Y,500,Langley,89,40,Y
2/18/2015,22,4000,Meals on Wheels Volunteer,Y,400,West Vancouver,408,20,Y
6/19/2015,38,4000,Childen Program,Y,600,West Vancouver,296,20,Y
1/2/2015,35,3000,Special Event,Y,300,New Westminster,325,10,Y
7/7/2015,30,4000,Childcare,Y,500,Langley,346,30,Y
6/20/2015,27,2000,Special Event,Y,500,Maple Ridge,315,40,Y
8/18/2015,34,1000,Special Event,Y,100,New Westminster,24,50,Y
3/27/2015,21,2000,Festival,Y,200,Langley,153,30,Y
5/15/2015,12,3000,Parade,Y,400,Langley,486,40,Y
3/3/2015,23,1000,Market Volunteer,Y,100,Burnaby,337,10,Y
9/2/2015,12,4000,Competition,Y,600,Langley,32,30,N
6/11/2015,29,2000,Concert,Y,600,Maple Ridge,131,50,Y
2/16/2015,27,4000,Community Visitor,Y,400,Coquitlam,129,50,Y
3/17/2015,34,1000,Survey,Y,100,New Westminster,167,50,Y
4/3/2015,28,4000,Contest,Y,300,West Vancouver,286,50,Y
7/4/2015,11,3000,Fundraising,Y,600,Burnaby,206,50,Y
10/27/2015,16,2000,Chamber of Commerce,Y,200,West Vancouver,204,40,Y
2/30/2015,39,3000,Food Hamper Volunteer,Y,400,North Vancouver,427,40,Y
8/14/2015,22,3000,Graphic Design,Y,100,Maple Ridge,329,30,N
4/10/2015,17,1000,Visual Arts Committee,Y,500,Burnaby,174,20,N
4/27/2015,36,4000,Charitable Donations,N,400,Burnaby,277,50,Y
1/3/2015,17,4000,Fitness Class,Y,400,New Westminster,276,30,Y
6/14/2015,13,2000,Museum Tour Guide,Y,100,West Vancouver,219,50,Y
1/27/2015,11,3000,Big Sister Program,Y,600,West Vancouver,45,30,Y
4/24/2015,31,2000,Charitable Donations,Y,50,Langley,441,40,Y
2/18/2015,29,4000,Childcare,Y,400,Vancouver,249,50,Y
7/9/2015,23,2000,Contest,Y,300,Richmond,107,30,Y
2/25/2015,33,2000,Training,Y,200,West Vancouver,327,10,Y
5/11/2015,18,1000,Contest,Y,300,West Vancouver,176,40,N
2/6/2015,19,3000,Recreation Assistants,N,100,North Vancouver,384,30,Y
4/16/2015,28,1000,Cultural event,Y,50,North Vancouver,45,40,Y
1/27/2015,15,3000,In-School Mentor,Y,50,Maple Ridge,464,40,Y
9/3/2015,30,4000,In-School Mentor,Y,100,Richmond,262,10,Y
8/6/2015,36,2000,Study buddy Tutor,Y,100,Vancouver,308,50,Y
1/7/2015,34,4000,Office Volunteer,Y,300,Burnaby,341,30,Y
10/17/2015,35,3000,Contest,Y,300,North Vancouver,206,20,Y
10/24/2015,17,3000,Parade,Y,100,North Vancouver,44,50,Y
10/7/2015,16,3000,Parade,Y,300,Burnaby,417,30,Y
3/18/2015,30,1000,Survey,Y,50,Langley,429,40,Y
5/9/2015,34,1000,Special Event,Y,200,Vancouver,448,40,Y
9/3/2015,34,3000,Nature House Volunteer,N,400,Burnaby,454,40,Y
10/21/2015,12,4000,Meals on Wheels Volunteer,Y,600,Vancouver,120,20,Y
8/23/2015,30,3000,Special Event,N,400,Langley,297,10,Y
4/14/2015,39,1000,Study buddy Tutor,Y,600,Burnaby,299,50,Y
3/4/2015,23,2000,Survey,Y,400,Langley,93,30,Y
2/30/2015,18,4000,Seniors Centre Volunteer,Y,50,Burnaby,424,50,Y
3/19/2015,23,2000,Survey,Y,100,New Westminster,253,30,Y
8/26/2015,11,4000,Training,Y,300,Vancouver,463,30,Y
1/14/2015,13,4000,Social Media,Y,50,West Vancouver,484,20,Y
5/4/2015,34,1000,In-School Mentor,Y,100,North Vancouver,397,10,Y
1/29/2015,15,4000,Market Volunteer,Y,500,Maple Ridge,67,20,N
9/16/2015,37,1000,Office Volunteer,Y,600,New Westminster,425,30,Y
7/11/2015,30,4000,Fitness Class,Y,200,Maple Ridge,38,40,Y
10/5/2015,37,1000,Community Visitor,Y,200,Vancouver,390,10,Y
5/20/2015,19,4000,Parade,Y,50,North Vancouver,479,30,Y
2/27/2015,26,4000,Fitness Class,Y,500,Coquitlam,407,50,Y
7/22/2015,11,4000,In-School Mentor,N,300,Maple Ridge,308,20,Y
6/12/2015,34,1000,Recreation Assistants,Y,300,Coquitlam,412,20,Y
1/22/2015,31,4000,Office Volunteer,Y,200,West Vancouver,488,50,Y
6/30/2015,12,1000,Community Visitor,Y,500,West Vancouver,95,40,Y
7/23/2015,11,4000,Big Sister Program,Y,500,Coquitlam,101,20,N
9/24/2015,28,4000,Nature House Volunteer,N,600,New Westminster,223,50,Y
8/29/2015,31,1000,Charitable Donations,Y,500,Vancouver,60,20,Y
1/14/2015,29,4000,Festival,N,400,North Vancouver,318,40,Y
8/30/2015,28,1000,Social Media,Y,500,Burnaby,104,20,Y
3/17/2015,36,2000,Graphic Design,Y,300,Coquitlam,399,50,Y
5/27/2015,31,2000,Charitable Donations,N,100,Langley,138,20,Y
9/4/2015,24,3000,Childcare,Y,300,Coquitlam,473,30,Y
3/15/2015,23,2000,Office Volunteer,Y,300,Burnaby,372,40,Y
8/11/2015,20,4000,Parade,Y,500,West Vancouver,338,50,Y
3/28/2015,33,4000,Training,Y,300,North Vancouver,311,20,Y
2/18/2015,23,1000,Childcare,Y,50,Vancouver,101,40,Y
5/3/2015,19,2000,Festival,Y,600,New Westminster,307,50,Y
6/24/2015,11,3000,Graphic Design,Y,50,Vancouver,33,40,N
4/14/2015,31,3000,Development Volunteer,Y,200,West Vancouver,353,50,Y
2/14/2015,29,4000,Equipment Sorter,Y,50,West Vancouver,133,40,N
5/20/2015,10,2000,Fundraising,Y,600,Richmond,442,20,Y
1/7/2015,10,1000,Graphic Design,Y,400,Richmond,342,40,Y
8/16/2015,17,1000,Survey,Y,100,North Vancouver,417,20,Y
10/26/2015,17,1000,Community Visitor,Y,500,New Westminster,146,40,N
3/25/2015,27,4000,Conference,Y,300,West Vancouver,103,40,N
8/2/2015,17,2000,Party,Y,600,North Vancouver,451,50,N
3/25/2015,36,2000,Charitable Donations,Y,600,West Vancouver,282,50,N
8/13/2015,10,2000,Concert,Y,100,Burnaby,36,40,N
5/6/2015,31,3000,Conference,Y,600,Vancouver,41,40,Y
6/20/2015,34,2000,Nature House Volunteer,Y,50,Langley,81,50,Y
7/17/2015,19,2000,Childen Program,Y,400,Burnaby,89,40,Y
8/29/2015,12,4000,Food Hamper Volunteer,Y,50,Richmond,406,30,Y
1/13/2015,39,1000,Charitable Donations,Y,100,New Westminster,353,20,N
3/24/2015,15,4000,Seniors Centre Volunteer,Y,200,Coquitlam,466,10,Y
5/13/2015,20,1000,Childen Program,Y,200,Richmond,460,20,Y
5/27/2015,33,2000,Food Hamper Volunteer,Y,600,Langley,212,20,Y
1/27/2015,21,1000,In-School Mentor,Y,400,Maple Ridge,93,10,Y
8/2/2015,25,3000,Recreation Assistants,Y,600,Coquitlam,424,30,Y
3/14/2015,12,3000,Parade,Y,400,Coquitlam,153,30,N
8/21/2015,39,1000,Recreation Assistants,Y,200,New Westminster,314,20,Y
5/7/2015,20,4000,Urban Native Youth Association,Y,300,New Westminster,357,50,Y
6/20/2015,38,3000,Seniors Centre Volunteer,Y,300,New Westminster,432,10,Y
1/18/2015,16,4000,Concert,Y,400,Coquitlam,438,20,Y
8/30/2015,22,1000,Meals on Wheels Volunteer,Y,300,Richmond,373,30,Y
8/5/2015,11,1000,Food Hamper Volunteer,Y,500,Vancouver,348,20,Y
1/17/2015,36,3000,Meals on Wheels Volunteer,Y,500,West Vancouver,196,40,Y
2/3/2015,17,3000,Contest,Y,400,North Vancouver,81,50,Y
8/10/2015,34,2000,Survey,Y,400,Langley,483,20,Y
2/21/2015,16,4000,Study buddy Tutor,Y,100,North Vancouver,15,30,Y
1/2/2015,14,4000,In-School Mentor,Y,500,Vancouver,447,40,Y
5/7/2015,17,3000,Development Volunteer,Y,50,Richmond,465,20,Y
3/4/2015,11,1000,Urban Native Youth Association,Y,600,Langley,103,50,Y
8/21/2015,34,4000,Party,N,300,New Westminster,250,50,Y
6/29/2015,23,1000,Festival,Y,500,West Vancouver,130,10,Y
6/7/2015,38,3000,In-School Mentor,Y,50,Burnaby,135,40,Y
7/3/2015,37,1000,Cultural event,Y,100,West Vancouver,336,50,Y
3/9/2015,20,4000,Meals on Wheels Volunteer,Y,500,New Westminster,190,20,Y
6/18/2015,11,2000,Big Sister Program,Y,50,West Vancouver,62,10,Y
6/2/2015,33,4000,Fitness Class,Y,300,Vancouver,431,30,Y
5/14/2015,27,3000,Special Event,Y,600,Coquitlam,228,40,Y
7/15/2015,17,1000,Training,N,600,New Westminster,11,10,N
7/12/2015,32,3000,Fundraising,Y,300,New Westminster,472,50,N
9/14/2015,15,2000,Childen Program,Y,500,Langley,472,10,Y
10/4/2015,26,2000,Nature House Volunteer,Y,300,Vancouver,175,50,Y
2/27/2015,22,4000,Museum Tour Guide,Y,600,Richmond,65,20,Y
2/29/2015,16,2000,Cultural event,Y,400,Coquitlam,70,20,Y
9/17/2015,18,1000,Graphic Design,Y,100,Vancouver,483,20,Y
10/26/2015,32,1000,Fitness Class,Y,500,Vancouver,429,40,Y
1/26/2015,18,4000,Visual Arts Committee,Y,50,Langley,22,50,Y
9/20/2015,10,3000,In-School Mentor,Y,100,Maple Ridge,366,30,Y
6/16/2015,33,2000,Fitness Class,Y,400,Langley,190,10,Y
9/15/2015,31,2000,Nature House Volunteer,Y,600,Richmond,162,10,Y
7/19/2015,25,4000,Charitable Donations,Y,500,Burnaby,278,30,Y
3/4/2015,12,4000,Cultural event,Y,500,Richmond,373,20,Y
4/8/2015,18,3000,Health Product Study,N,400,West Vancouver,205,20,Y
6/30/2015,37,1000,Social Media,Y,500,Maple Ridge,243,20,N
6/9/2015,11,2000,Conference,Y,600,Richmond,86,50,Y
8/5/2015,12,3000,Parade,N,50,Richmond,471,20,Y
4/20/2015,25,2000,Competition,Y,400,Langley,364,30,N
6/7/2015,34,2000,Equipment Sorter,Y,600,West Vancouver,246,30,Y
4/30/2015,10,3000,Urban Native Youth Association,Y,200,Langley,209,30,N
1/13/2015,16,4000,Childen Program,Y,100,Vancouver,135,10,Y
4/11/2015,30,2000,Training,Y,100,Coquitlam,293,20,Y
7/16/2015,28,2000,Museum Tour Guide,N,300,New Westminster,500,20,Y
1/4/2015,10,1000,Festival,Y,200,North Vancouver,393,10,Y
8/26/2015,39,4000,Health Product Study,Y,100,Burnaby,297,50,Y
1/16/2015,36,2000,Special Event,Y,300,Vancouver,278,40,Y
6/21/2015,20,4000,Office Volunteer,N,200,New Westminster,201,40,Y
9/4/2015,28,4000,Meals on Wheels Volunteer,Y,400,Coquitlam,316,30,Y
9/22/2015,22,2000,Party,Y,400,New Westminster,396,20,Y
9/7/2015,16,2000,Urban Native Youth Association,Y,50,North Vancouver,281,20,Y
1/10/2015,28,3000,Museum Tour Guide,Y,500,North Vancouver,28,10,Y
6/30/2015,16,2000,Market Volunteer,Y,400,Richmond,196,20,Y
10/4/2015,28,3000,Speech,Y,50,Burnaby,462,10,Y
1/22/2015,30,3000,Social Media,Y,500,North Vancouver,51,10,N
5/25/2015,31,3000,Seniors Centre Volunteer,Y,50,Maple Ridge,461,40,Y
5/1/2015,20,1000,Chamber of Commerce,Y,600,Langley,149,50,Y
8/21/2015,15,1000,Contest,Y,500,West Vancouver,359,10,Y
6/28/2015,21,1000,Big Sister Program,Y,500,Maple Ridge,211,10,Y
2/25/2015,30,1000,Nature House Volunteer,Y,50,Langley,323,50,Y
1/19/2015,40,3000,Conference,Y,300,Vancouver,252,10,Y
1/24/2015,18,4000,Office Volunteer,Y,400,Burnaby,366,20,Y
9/6/2015,11,1000,Chamber of Commerce,Y,200,North Vancouver,263,40,Y
10/5/2015,15,3000,Big Sister Program,Y,100,Maple Ridge,361,20,Y
6/18/2015,12,2000,Charitable Donations,Y,100,West Vancouver,339,20,Y
9/18/2015,30,4000,Food Hamper Volunteer,Y,200,Burnaby,459,50,Y
1/14/2015,35,4000,Urban Native Youth Association,Y,300,Richmond,88,10,Y
4/12/2015,40,1000,Recreation Assistants,Y,400,Langley,244,50,Y
9/27/2015,13,4000,Speech,Y,50,Vancouver,235,40,N
10/3/2015,34,4000,Urban Native Youth Association,Y,300,Richmond,192,50,Y
2/15/2015,18,3000,Equipment Sorter,Y,300,Burnaby,261,20,Y
5/27/2015,32,3000,Health Product Study,Y,50,Maple Ridge,142,20,Y
8/8/2015,14,3000,Study buddy Tutor,Y,200,West Vancouver,306,10,N
6/20/2015,34,4000,Recreation Assistants,Y,300,Coquitlam,17,20,Y
4/30/2015,11,1000,Study buddy Tutor,Y,100,North Vancouver,417,40,Y
5/14/2015,20,3000,Party,Y,100,New Westminster,12,30,Y
2/23/2015,33,4000,Charitable Donations,Y,500,Vancouver,439,20,Y
9/27/2015,16,4000,Social Media,N,600,Langley,405,20,N
5/14/2015,37,2000,Visual Arts Committee,N,500,Coquitlam,490,10,Y
10/3/2015,29,2000,In-School Mentor,Y,200,West Vancouver,57,40,Y
3/11/2015,32,3000,Big Sister Program,Y,400,West Vancouver,300,20,Y
3/21/2015,33,4000,Museum Tour Guide,Y,600,Vancouver,60,20,Y
3/20/2015,30,1000,Childcare,Y,200,Vancouver,17,40,Y
9/10/2015,12,3000,Speech,Y,100,Langley,335,10,Y
8/3/2015,17,1000,Seniors Centre Volunteer,Y,100,Richmond,422,20,Y
3/7/2015,35,3000,In-School Mentor,Y,50,Maple Ridge,72,10,N
4/6/2015,29,3000,Training,Y,300,Maple Ridge,466,30,Y
3/27/2015,22,4000,Survey,Y,400,Vancouver,193,20,Y
7/19/2015,18,1000,Chamber of Commerce,Y,200,Langley,361,50,Y
7/16/2015,31,3000,Seniors Centre Volunteer,Y,600,North Vancouver,427,30,Y
10/6/2015,27,2000,Fundraising,Y,100,Burnaby,155,50,Y
2/13/2015,32,1000,Equipment Sorter,Y,200,North Vancouver,366,50,Y
2/26/2015,18,1000,Chamber of Commerce,Y,300,West Vancouver,432,20,Y
3/30/2015,31,3000,Office Volunteer,Y,50,Vancouver,223,50,N
9/22/2015,17,2000,Childen Program,N,500,Maple Ridge,54,30,Y
1/10/2015,38,3000,Community Visitor,N,600,Maple Ridge,117,20,Y
6/4/2015,31,3000,Chamber of Commerce,Y,200,Coquitlam,284,40,Y
7/10/2015,32,2000,Party,Y,400,Richmond,410,20,Y
3/27/2015,14,1000,Recreation Assistants,Y,600,Richmond,79,40,Y
3/24/2015,32,1000,Childen Program,Y,100,Vancouver,288,30,Y
10/26/2015,20,3000,Speech,Y,500,Langley,162,30,Y
7/25/2015,39,3000,Contest,Y,100,North Vancouver,16,10,Y
9/5/2015,15,3000,Contest,Y,50,North Vancouver,458,30,Y
8/3/2015,27,4000,Childcare,Y,50,Vancouver,102,20,Y
8/10/2015,17,2000,Childen Program,Y,300,West Vancouver,424,20,Y
6/11/2015,27,3000,Childen Program,Y,50,Maple Ridge,235,30,Y
1/17/2015,22,4000,Competition,Y,100,West Vancouver,236,20,Y
8/19/2015,12,1000,Cultural event,Y,100,Burnaby,317,50,Y
4/27/2015,11,4000,Contest,Y,500,Burnaby,82,30,Y
8/21/2015,18,1000,Health Product Study,N,300,Burnaby,60,20,Y
10/25/2015,11,3000,Training,Y,500,Richmond,19,20,Y
3/16/2015,12,3000,Equipment Sorter,Y,300,New Westminster,411,40,N
4/24/2015,20,2000,Graphic Design,Y,500,North Vancouver,25,30,Y
10/25/2015,13,4000,Chamber of Commerce,Y,200,Coquitlam,241,10,Y
4/20/2015,27,2000,Conference,Y,600,North Vancouver,191,50,Y
10/15/2015,32,2000,Conference,Y,500,Langley,26,20,Y
3/30/2015,37,3000,Charitable Donations,Y,400,Langley,449,50,Y
3/30/2015,24,2000,Fitness Class,Y,600,Coquitlam,158,30,Y
7/23/2015,12,4000,Meals on Wheels Volunteer,Y,300,Vancouver,52,40,Y
6/6/2015,11,4000,Development Volunteer,N,50,North Vancouver,92,30,Y
6/16/2015,34,1000,Contest,N,400,North Vancouver,484,40,Y
6/19/2015,34,1000,Training,Y,50,West Vancouver,93,40,Y
9/29/2015,37,4000,Recreation Assistants,Y,50,Maple Ridge,211,40,Y
3/9/2015,29,1000,Meals on Wheels Volunteer,Y,50,Maple Ridge,122,30,Y
4/6/2015,40,4000,Health Product Study,Y,600,Langley,161,30,Y
9/7/2015,37,1000,Nature House Volunteer,Y,100,Vancouver,334,50,Y
1/24/2015,29,2000,Study buddy Tutor,Y,400,Richmond,107,10,Y
9/1/2015,23,3000,Speech,Y,600,Burnaby,401,40,Y
6/12/2015,22,2000,Cultural event,Y,400,Langley,154,30,Y
10/21/2015,37,4000,Recreation Assistants,Y,500,Langley,326,20,Y
10/22/2015,36,1000,Recreation Assistants,Y,400,West Vancouver,153,10,Y
2/23/2015,37,4000,Urban Native Youth Association,Y,600,West Vancouver,145,10,Y
10/2/2015,28,3000,Festival,Y,100,New Westminster,431,20,Y
9/18/2015,15,3000,Festival,Y,400,Burnaby,26,50,Y
7/10/2015,14,4000,Office Volunteer,Y,400,North Vancouver,476,10,Y
9/21/2015,34,4000,Study buddy Tutor,Y,500,Burnaby,205,50,Y
5/10/2015,27,1000,Equipment Sorter,Y,100,Coquitlam,150,30,Y
5/1/2015,27,4000,Graphic Design,Y,400,Richmond,91,30,Y
5/3/2015,14,4000,Cultural event,Y,600,Coquitlam,87,30,N
5/14/2015,31,4000,Museum Tour Guide,Y,200,Langley,109,20,Y
8/6/2015,28,2000,Recreation Assistants,Y,600,Maple Ridge,287,30,Y
1/27/2015,22,4000,Childcare,Y,100,Burnaby,451,50,Y
1/20/2015,33,1000,Childcare,Y,300,Langley,62,40,Y
8/21/2015,22,1000,Conference,Y,400,Langley,429,30,Y
6/26/2015,16,2000,Parade,Y,100,Richmond,283,50,Y
4/16/2015,16,1000,Parade,Y,500,New Westminster,287,20,Y
6/22/2015,12,4000,Development Volunteer,N,300,Vancouver,245,30,Y
8/27/2015,16,4000,Cultural event,Y,100,New Westminster,403,20,Y
9/26/2015,13,2000,Fitness Class,Y,400,Richmond,278,20,Y
3/20/2015,10,2000,Social Media,Y,100,Vancouver,86,30,Y
8/6/2015,24,3000,Meals on Wheels Volunteer,Y,500,New Westminster,77,30,N
2/30/2015,22,3000,Equipment Sorter,Y,600,North Vancouver,189,40,Y
2/1/2015,27,2000,Fundraising,Y,200,Maple Ridge,16,50,Y
2/20/2015,13,1000,Childen Program,Y,500,Langley,500,40,Y
8/19/2015,40,2000,In-School Mentor,N,500,Coquitlam,230,10,Y
1/13/2015,10,2000,Fitness Class,Y,50,North Vancouver,208,20,Y
10/1/2015,33,4000,Equipment Sorter,Y,200,West Vancouver,496,30,Y
